Date,A-1,Rib 25,O-1,Rib 75,U,T,S,R,E-1,M,F-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,A-1,A-2,A-3,A-4,A-5,B-1,B-2,B-3,B-4,B-5,C-1,C-2,C-3,C-4,C-5,A-1A,A-1B,A-2A,A-2B,A-3A,A-3B,A-4A,A-4B,A-5A,A-5B,SW DECK,MIDWEST DECK,NW DECK,NE DECK,MIDEAST DECK,1-A,1-B,1-C,2-A,2-B,2-C,3-A,3-B,3-C,4-A,4-B,4-C,5-A,5-B,5-C,6-A,6-B,6-C
2010-12-27,34.32,33.93,33.88,34.26,34.61,34.73,34.79,34.77,34.78,34.82,34.68,12.37,12.20,12.09,12.40,12.73,13.05,12.99,12.97,12.93,12.89,12.73,12.69,12.96,13.00,13.00,13.12,13.18,13.04,12.57,12.26,12.44,12.83,14.98,14.86,14.96,14.90,14.99,7.97,7.92,8.02,7.97,8.01,14.84,14.73,14.73,14.66,14.72,7.94,7.88,7.86,7.75,7.97,7.81,7.93,7.82,8.01,7.94,7.90,8.05,7.92,7.84,7.96,7.89,8.06,7.96,8.56,8.47,8.37,8.47,8.44,8.41,8.48,8.46,8.37,8.43,8.51,8.30,8.39,8.45,8.38
2016-01-26,33.09,32.23,32.25,32.95,33.46,33.94,34.00,33.92,33.88,33.96,33.86,11.23,10.98,10.89,11.24,11.64,12.17,12.10,12.14,12.08,12.09,11.88,11.82,12.19,12.16,12.13,12.26,12.40,12.09,11.50,11.08,11.22,11.84,14.30,14.18,14.32,14.27,14.38,7.16,7.16,7.28,7.25,7.28,14.00,13.90,13.93,13.88,13.95,7.16,7.06,7.09,6.93,7.23,7.00,7.22,7.06,7.34,7.25,7.20,,7.09,6.93,,7.18,7.48,7.22,7.86,7.89,7.55,7.77,7.87,7.67,7.80,7.90,7.60,7.77,7.99,7.60,7.60,7.80,7.58
2017-01-04,33.43,31.82,31.87,32.60,32.76,33.77,33.79,33.74,33.65,33.74,33.68,11.03,10.76,10.66,11.05,11.46,12.03,11.95,12.00,11.95,11.95,11.75,11.66,12.07,12.04,12.00,12.14,12.29,11.92,11.32,10.86,11.04,11.67,14.25,14.06,14.19,14.15,14.26,7.06,7.03,7.16,7.13,7.17,13.87,13.78,13.81,13.76,13.83,7.02,6.91,6.97,6.78,7.10,6.86,7.09,6.93,7.22,7.13,7.11,7.26,6.93,6.79,7.06,7.06,7.30,7.06,7.76,7.78,7.45,7.69,7.76,7.54,7.72,7.80,7.51,7.71,7.89,7.51,7.50,7.67,7.45
2017-12-03,32.54,31.45,31.51,32.31,32.47,33.52,33.58,33.55,33.37,33.53,33.51,10.80,10.48,10.41,10.78,11.23,,11.76,11.82,11.77,11.78,,,11.90,11.85,11.83,11.97,12.11,11.70,11.06,10.59,10.78,11.44,13.99,13.90,14.03,13.99,14.11,6.88,6.88,7.00,6.97,7.01,13.68,13.62,13.63,,13.67,6.84,6.72,6.79,6.58,6.92,6.67,6.92,6.70,7.05,6.97,6.89,7.10,6.78,6.57,6.88,6.89,7.14,7.15,7.55,7.64,7.28,7.55,7.63,7.39,7.58,7.68,7.35,7.55,7.78,7.36,7.32,7.53,7.27
2018-11-29,32.36,31.17,,32.07,32.24,33.39,33.48,33.36,32.96,33.41,33.39,10.62,10.29,10.19,10.58,11.04,11.69,11.57,11.66,11.60,11.64,11.43,11.32,11.79,11.74,11.71,11.84,11.99,11.52,10.88,10.39,10.59,11.28,13.89,13.80,13.94,13.91,14.03,6.64,6.64,6.77,6.75,6.80,13.52,13.46,13.47,13.43,13.51,6.74,6.61,6.61,6.45,6.81,6.55,6.82,6.64,6.97,6.87,6.82,7.03,6.68,6.43,6.83,6.79,7.04,6.80,7.39,7.56,7.16,7.46,7.57,7.28,7.49,7.61,7.24,7.48,7.71,7.26,7.21,7.44,7.15
2019-02-03,32.14,30.85,,31.81,31.93,33.23,33.33,33.19,32.69,33.25,33.25,10.43,10.08,9.97,10.37,10.85,,11.40,11.51,11.45,11.50,13.21,13.08,11.66,11.61,11.57,11.70,11.86,11.34,10.69,10.18,10.39,11.11,13.71,13.63,13.76,13.73,13.85,6.63,6.59,6.73,6.69,6.74,13.36,13.28,13.32,13.27,13.36,6.53,6.38,6.46,6.22,6.6,6.32,6.62,6.53,6.77,6.67,NA,NA,6.47,6.19,NA,NA,6.86,6.630555556,7.246111111,7.459444444,7.029444444,7.355277778,7.479166667,7.156388889,7.386388889,7.519722222,7.118888889,7.383333333,7.623611111,7.148611111,7.082777778,7.328888889,7.013888889
