Date,Rib 89-90,Rib 89,Mid-East footer,Mid-West footer,SE footer,SW footer,1-AA,1-BA,1-CA,1-DA,1-EA,1-FA,1-GA,1-HA,1-IA,1-JA,1-B,2-B,2-C,2-D2,2-E,2-F,2-G,2-H,2-I,2-J,3-AA,3-BA,3-CA,3-DA,3-EA,3-FA,3-GA,3-HA,3-IA,3-JA,X,V,Y,W,Z,PIPE-1,PIPE-2,PIPE-3
12/1/12,4.62,4.32,3.73,3.90,4.59,4.34,8,8,7.82,7.66,7.62,7.7,7.78,7.84,7.94,8.11,7.96,7.96,7.84,7.74,7.77,7.86,7.89,7.87,7.92,8.04,8.03,7.92,7.82,7.67,7.71,7.72,7.72,7.85,7.85,8.07,32.96,32.39,32.25,32.35,32.29,28.03,28.03,27.99
1/21/14,4.50,4.12,3.51,3.71,4.46,4.17,7.85,7.85,7.67,7.52,7.48,7.56,7.92,7.70,7.81,7.98,7.89,7.89,7.76,7.61,7.70,7.80,7.83,7.80,7.81,7.91,7.93,7.81,7.71,7.56,7.60,7.61,7.61,7.73,7.73,7.95,32.84,32.37,31.97,32.34,32.18,27.96,27.97,27.94
1/30/16,3.90,3.56,2.87,3.11,3.89,3.57,7.49,7.49,7.28,7.12,7.05,7.14,7.25,7.40,7.46,7.64,7.51,7.51,7.38,7.30,7.31,7.40,7.43,7.43,7.50,7.63,7.45,7.39,7.29,7.17,7.16,7.24,7.24,7.42,7.42,7.62,32.33,31.61,31.34,31.37,31.62,27.50,27.53,27.49
1/24/18,3.48,3.06,2.36,2.55,3.51,3.10,7.15,7.15,6.92,6.76,6.69,6.78,6.90,7.10,7.10,7.30,7.19,7.19,7.04,6.96,6.97,7.07,7.10,7.21,7.18,7.31,7.20,7.03,6.92,6.81,6.80,6.94,6.94,7.10,7.10,7.28,31.88,31.04,31.70,30.79,31.13,27.17,27.23,27.19
